,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-10,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-03-11,8,1,0,0,7,7,7,1,0,0,6,6.0
2020-03-12,11,1,0,0,10,10,3,0,0,0,3,3.0
2020-03-13,27,1,0,0,26,26,16,0,0,0,16,16.0
2020-03-14,36,1,0,0,35,35,9,0,0,0,9,9.0
2020-03-15,43,1,0,1,41,42,7,0,0,1,6,7.0
2020-03-16,55,1,0,2,52,54,12,0,0,1,11,12.0
2020-03-17,69,1,0,3,65,68,14,0,0,1,13,14.0
2020-03-18,86,1,0,4,81,85,17,0,0,1,16,17.0
2020-03-19,109,1,0,6,102,108,23,0,0,2,21,23.0
2020-03-20,137,1,0,8,128,136,28,0,0,2,26,28.0
2020-03-21,200,1,0,10,189,199,63,0,0,2,61,63.0
2020-03-22,313,3,0,13,297,310,113,2,0,3,108,111.0
2020-03-23,345,6,0,17,322,339,32,3,0,4,25,29.0
2020-03-24,345,6,1,21,318,338,0,0,1,4,-4,-1.0
2020-03-25,443,8,1,26,409,434,98,2,0,5,91,96.0
2020-03-26,558,8,2,32,518,548,115,0,1,6,109,114.0
2020-03-27,674,9,2,38,627,663,116,1,0,6,109,115.0
2020-03-28,786,14,2,45,727,770,112,5,0,7,100,107.0
