,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-01-31,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-01,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-02,2,1,0,0,1,1,1,1,0,0,0,0.0
2020-02-03,2,1,0,0,1,1,0,0,0,0,0,0.0
2020-02-04,2,1,0,0,1,1,0,0,0,0,0,0.0
2020-02-05,2,1,0,0,1,1,0,0,0,0,0,0.0
2020-02-06,2,1,0,0,1,1,0,0,0,0,0,0.0
2020-02-07,3,1,0,0,2,2,1,0,0,0,1,1.0
2020-02-08,3,1,0,0,2,2,0,0,0,0,0,0.0
2020-02-09,3,1,0,0,2,2,0,0,0,0,0,0.0
2020-02-10,3,1,0,0,2,2,0,0,0,0,0,0.0
2020-02-11,3,1,0,0,2,2,0,0,0,0,0,0.0
2020-02-12,3,1,1,0,2,1,0,0,1,0,0,-1.0
2020-02-13,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-14,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-15,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-16,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-17,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-18,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-19,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-20,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-21,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-22,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-23,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-24,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-25,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-26,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-27,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-28,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-02-29,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-03-01,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-03-02,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-03-03,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-03-04,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-03-05,3,1,1,0,2,1,0,0,0,0,0,0.0
2020-03-06,5,1,1,0,4,3,2,0,0,0,2,2.0
2020-03-07,6,1,1,0,5,4,1,0,0,0,1,1.0
2020-03-08,10,1,1,0,9,8,4,0,0,0,4,4.0
2020-03-09,20,1,1,0,19,18,10,0,0,0,10,10.0
2020-03-10,33,1,2,0,32,30,13,0,1,0,13,12.0
2020-03-11,49,1,2,0,48,46,16,0,0,0,16,16.0
2020-03-12,52,2,2,1,49,48,3,1,0,1,1,2.0
2020-03-13,64,5,2,2,57,57,12,3,0,1,8,9.0
2020-03-14,111,8,2,3,100,101,47,3,0,1,43,44.0
2020-03-15,140,11,2,4,125,127,29,3,0,1,25,26.0
2020-03-16,142,12,2,6,124,128,2,1,0,2,-1,1.0
2020-03-17,187,12,5,8,167,170,45,0,3,2,43,42.0
2020-03-18,202,19,5,11,172,178,15,7,0,3,5,8.0
2020-03-19,217,17,8,14,186,192,15,-2,3,3,14,14.0
2020-03-20,230,18,8,18,194,204,13,1,0,4,8,12.0
2020-03-21,307,19,13,22,266,275,77,1,5,4,72,71.0
2020-03-22,380,25,17,27,328,338,73,6,4,5,62,63.0
2020-03-23,462,33,17,33,396,412,82,8,0,6,68,74.0
2020-03-24,552,35,20,40,477,497,90,2,3,7,81,85.0
2020-03-25,636,38,26,48,550,572,84,3,6,8,73,75.0
2020-03-26,707,45,28,57,605,634,71,7,2,9,55,62.0
2020-03-27,803,54,31,67,682,718,96,9,3,10,77,84.0
2020-03-28,1075,68,35,78,929,972,272,14,4,11,247,254.0
