,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-03-01,3,0,0,0,3,3,2,0,0,0,2,2.0
2020-03-02,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-03-03,7,0,0,0,7,7,4,0,0,0,4,4.0
2020-03-04,8,0,0,0,8,8,1,0,0,0,1,1.0
2020-03-05,8,0,0,0,8,8,0,0,0,0,0,0.0
2020-03-06,8,0,0,0,8,8,0,0,0,0,0,0.0
2020-03-07,8,0,0,0,8,8,0,0,0,0,0,0.0
2020-03-08,15,0,0,1,14,15,7,0,0,1,6,7.0
2020-03-09,18,0,0,2,16,18,3,0,0,1,2,3.0
2020-03-10,24,0,0,3,21,24,6,0,0,1,5,6.0
2020-03-11,262,0,0,4,258,262,238,0,0,1,237,238.0
2020-03-12,262,0,0,6,256,262,0,0,0,2,-2,0.0
2020-03-13,320,0,0,8,312,320,58,0,0,2,56,58.0
2020-03-14,337,0,4,11,326,333,17,0,4,3,14,13.0
2020-03-15,401,0,4,14,387,397,64,0,0,3,61,64.0
2020-03-16,439,0,4,18,421,435,38,0,0,4,34,38.0
2020-03-17,439,0,4,22,417,435,0,0,0,4,-4,0.0
2020-03-18,452,0,4,27,425,448,13,0,0,5,8,13.0
2020-03-19,460,0,4,33,427,456,8,0,0,6,2,8.0
2020-03-20,470,0,10,39,431,460,10,0,6,6,4,4.0
2020-03-21,481,0,27,46,435,454,11,0,17,7,4,-6.0
2020-03-22,494,0,33,54,440,461,13,0,6,8,5,7.0
2020-03-23,501,0,33,63,438,468,7,0,0,9,-2,7.0
2020-03-24,526,0,41,72,454,485,25,0,8,9,16,17.0
2020-03-25,537,0,41,82,455,496,11,0,0,10,1,11.0
2020-03-26,549,0,43,93,456,506,12,0,2,11,1,10.0
2020-03-27,562,0,43,105,457,519,13,0,0,12,1,13.0
2020-03-28,590,1,45,118,471,544,28,1,2,13,14,25.0
