,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-05,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-03-06,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-07,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-08,3,0,0,0,3,3,2,0,0,0,2,2.0
2020-03-09,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-03-10,7,0,0,0,7,7,4,0,0,0,4,4.0
2020-03-11,13,0,0,0,13,13,6,0,0,0,6,6.0
2020-03-12,17,0,0,0,17,17,4,0,0,0,4,4.0
2020-03-13,24,0,0,1,23,24,7,0,0,1,6,7.0
2020-03-14,38,0,0,2,36,38,14,0,0,1,13,14.0
2020-03-15,51,0,0,3,48,51,13,0,0,1,12,13.0
2020-03-16,62,0,0,4,58,62,11,0,0,1,10,11.0
2020-03-17,62,0,0,6,56,62,0,0,0,2,-2,0.0
2020-03-18,116,0,0,8,108,116,54,0,0,2,52,54.0
2020-03-19,150,0,0,11,139,150,34,0,0,3,31,34.0
2020-03-20,202,0,0,14,188,202,52,0,0,3,49,52.0
2020-03-21,240,0,0,18,222,240,38,0,0,4,34,38.0
2020-03-22,274,0,0,22,252,274,34,0,0,4,30,34.0
2020-03-23,402,0,0,27,375,402,128,0,0,5,123,128.0
2020-03-24,554,0,4,33,521,550,152,0,4,6,146,148.0
2020-03-25,709,0,12,40,669,697,155,0,8,7,148,147.0
2020-03-26,927,0,12,48,879,915,218,0,0,8,210,218.0
2020-03-27,1170,1,31,58,1111,1138,243,1,19,10,232,223.0
2020-03-28,1187,1,31,69,1117,1155,17,0,0,11,6,17.0
