,Total Confirmed,Total Deaths,Total Recovered,Total Active,Change in Confirmed,Change in Deaths,Change in Recovered,Change in Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,548,17,28,503,0,0,0,0,3.1022,5.1095,91.7883,0.0,0.0,0.0
2020-01-23,643,18,30,595,95,1,2,92,2.7994,4.6656,92.535,-0.30279999999999996,-0.4438999999999993,0.7466999999999899
2020-01-24,920,26,36,858,277,8,6,263,2.8261,3.913,93.2609,0.026699999999999946,-0.7526000000000006,0.72590000000001
2020-01-25,1406,42,39,1325,486,16,3,467,2.9872,2.7738,94.239,0.16110000000000024,-1.1391999999999998,0.9780999999999977
2020-01-26,2075,56,49,1970,669,14,10,645,2.6988,2.3614,94.9398,-0.2884000000000002,-0.4123999999999999,0.700800000000001
2020-01-27,2877,82,58,2737,802,26,9,767,2.8502,2.016,95.1338,0.1514000000000002,-0.34540000000000015,0.1939999999999884
2020-01-28,5509,131,101,5277,2632,49,43,2540,2.3779,1.8334,95.7887,-0.47230000000000016,-0.1826000000000001,0.654900000000012
2020-01-29,6087,133,120,5834,578,2,19,557,2.185,1.9714,95.8436,-0.19289999999999985,0.13800000000000012,0.05489999999998929
2020-01-30,8141,171,135,7835,2054,38,15,2001,2.1005,1.6583,96.2412,-0.08450000000000024,-0.31309999999999993,0.3976000000000113
2020-01-31,9802,213,214,9375,1661,42,79,1540,2.173,2.1832,95.6437,0.07250000000000023,0.5248999999999997,-0.5975000000000108
2020-02-01,11891,259,275,11357,2089,46,61,1982,2.1781,2.3127,95.5092,0.0051000000000001044,0.12950000000000017,-0.13449999999998852
2020-02-02,16630,361,463,15806,4739,102,188,4449,2.1708,2.7841,95.0451,-0.007300000000000306,0.47140000000000004,-0.46410000000000196
2020-02-03,19716,425,614,18677,3086,64,151,2871,2.1556,3.1142,94.7302,-0.015199999999999658,0.33009999999999984,-0.3149000000000086
2020-02-04,23707,491,843,22373,3991,66,229,3696,2.0711,3.5559,94.373,-0.08450000000000024,0.4417,-0.35719999999999175
2020-02-05,27440,563,1115,25762,3733,72,272,3389,2.0517,4.0634,93.8848,-0.019400000000000084,0.5074999999999998,-0.4882000000000062
2020-02-06,30587,633,1477,28477,3147,70,362,2715,2.0695,4.8288,93.1016,0.01780000000000026,0.7654000000000005,-0.7831999999999937
2020-02-07,34110,718,1999,31393,3523,85,522,2916,2.105,5.8605,92.0346,0.035499999999999865,1.0316999999999998,-1.0670000000000073
2020-02-08,36814,805,2596,33413,2704,87,597,2020,2.1867,7.0517,90.7617,0.0817000000000001,1.1912000000000003,-1.2728999999999928
2020-02-09,39829,905,3219,35705,3015,100,623,2292,2.2722,8.0821,89.6457,0.08550000000000013,1.0304000000000002,-1.1159999999999997
2020-02-10,42354,1012,3918,37424,2525,107,699,1719,2.3894,9.2506,88.36,0.11719999999999997,1.1684999999999999,-1.2857000000000056
2020-02-11,44386,1112,4636,38638,2032,100,718,1214,2.5053,10.4447,87.05,0.11589999999999989,1.1940999999999988,-1.3100000000000023
2020-02-12,44759,1117,5082,38560,373,5,446,-78,2.4956,11.3541,86.1503,-0.009700000000000042,0.9094000000000015,-0.8996999999999957
2020-02-13,59895,1369,6217,52309,15136,252,1135,13749,2.2857,10.3798,87.3345,-0.2099000000000002,-0.9743000000000013,1.1842000000000041
2020-02-14,66358,1521,7977,56860,6463,152,1760,4551,2.2921,12.0212,85.6867,0.006400000000000183,1.6414000000000009,-1.6478000000000037
2020-02-15,68413,1663,9298,57452,2055,142,1321,592,2.4308,13.591,83.9782,0.13870000000000005,1.569799999999999,-1.7085000000000008
2020-02-16,70513,1766,10755,57992,2100,103,1457,540,2.5045,15.2525,82.243,0.0737000000000001,1.6615000000000002,-1.735200000000006
2020-02-17,72434,1864,12462,58108,1921,98,1707,116,2.5734,17.2046,80.222,0.06889999999999974,1.9520999999999997,-2.021000000000001
2020-02-18,74211,2003,14206,58002,1777,139,1744,-106,2.6991,19.1427,78.1582,0.12570000000000014,1.9381000000000022,-2.0638000000000005
2020-02-19,74619,2116,15962,56541,408,113,1756,-1461,2.8357,21.3913,75.7729,0.13660000000000005,2.2485999999999997,-2.3852999999999867
2020-02-20,75077,2238,18014,54825,458,122,2052,-1716,2.9809,23.994,73.025,0.1452,2.6026999999999987,-2.7479000000000013
2020-02-21,75550,2238,18704,54608,473,0,690,-217,2.9623,24.7571,72.2806,-0.018600000000000172,0.7631000000000014,-0.7443999999999988
2020-02-22,77001,2443,22699,51859,1451,205,3995,-2749,3.1727,29.4788,67.3485,0.21039999999999992,4.7216999999999985,-4.9321000000000055
2020-02-23,77022,2445,23187,51390,21,2,488,-469,3.1744,30.1044,66.7212,0.0017000000000000348,0.6255999999999986,-0.6273000000000053
2020-02-24,77241,2595,25015,49631,219,150,1828,-1759,3.3596,32.3857,64.2547,0.18520000000000003,2.2813000000000017,-2.4664999999999964
2020-02-25,77754,2665,27676,47413,513,70,2661,-2218,3.4275,35.5943,60.9782,0.0679000000000003,3.208599999999997,-3.2764999999999986
2020-02-26,78166,2717,30084,45365,412,52,2408,-2048,3.4759,38.4873,58.0367,0.0484,2.8930000000000007,-2.941499999999998
2020-02-27,78600,2746,32930,42924,434,29,2846,-2441,3.4936,41.8957,54.6107,0.017699999999999605,3.4084000000000003,-3.426000000000002
2020-02-28,78928,2790,36329,39809,328,44,3399,-3115,3.5349,46.028,50.4371,0.041300000000000114,4.132300000000001,-4.1736
2020-02-29,79356,2837,39320,37199,428,47,2991,-2610,3.575,49.5489,46.8761,0.04010000000000025,3.5209000000000046,-3.561
2020-03-01,79932,2872,42162,34898,576,35,2842,-2301,3.5931,52.7473,43.6596,0.018100000000000005,3.1983999999999995,-3.2165000000000035
