,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21
Total Confirmed,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,8.0,10.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,27.0,46.0,48.0,79.0,130.0,159.0,196.0,262.0,482.0,670.0,799.0,1040.0,1176.0,1457.0,1908.0,2078.0,3675.0,4585.0,5795.0,7272.0,9257.0,12327.0,15320.0,19848.0,22213.0
Total Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,7.0,9.0,11.0,17.0,24.0,28.0,44.0,67.0,84.0
Total Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,18.0,18.0,18.0,18.0,25.0,25.0,46.0,46.0,46.0,67.0,67.0,105.0,113.0,180.0,233.0
Total Active,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,8.0,10.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0,14.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,12.0,30.0,32.0,63.0,114.0,143.0,180.0,246.0,466.0,653.0,781.0,1022.0,1156.0,1437.0,1880.0,2050.0,3622.0,4530.0,5738.0,7188.0,9166.0,12194.0,15163.0,19601.0,21896.0
Change in Confirmed,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,19.0,2.0,31.0,51.0,29.0,37.0,66.0,220.0,188.0,129.0,241.0,136.0,281.0,451.0,170.0,1597.0,910.0,1210.0,1477.0,1985.0,3070.0,2993.0,4528.0,2365.0
Change in Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,2.0,6.0,7.0,4.0,16.0,23.0,17.0
Change in Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,21.0,0.0,0.0,21.0,0.0,38.0,8.0,67.0,53.0
Change in Active,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,9.0,18.0,2.0,31.0,51.0,29.0,37.0,66.0,220.0,187.0,128.0,241.0,134.0,281.0,443.0,170.0,1572.0,908.0,1208.0,1450.0,1978.0,3028.0,2969.0,4438.0,2295.0
Total Mortality_Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701,0.1373,0.1572,0.1444,0.1905,0.1963,0.1898,0.2338,0.2593,0.2271,0.2872,0.3376,0.3782
Total Recovery_Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,6.25,6.25,6.25,6.25,75.0,75.0,75.0,87.5,87.5,87.5,87.5,82.3529,55.5556,34.7826,33.3333,20.2532,12.3077,10.0629,8.1633,6.1069,3.3195,2.5373,2.2528,1.7308,1.5306,1.2354,1.3103,1.2031,1.2517,1.0033,0.7938,0.9213,0.7238,0.8518,0.7376,0.9069,1.0489
Total Activity_Rate,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.75,93.75,93.75,93.75,93.75,25.0,25.0,25.0,12.5,12.5,12.5,12.5,17.6471,44.4444,65.2174,66.6667,79.7468,87.6923,89.9371,91.8367,93.8931,96.6805,97.4627,97.7472,98.2692,98.2993,98.6273,98.5325,98.6526,98.5578,98.8004,99.0164,98.8449,99.017,98.9211,98.9752,98.7555,98.5729
Change in Mortality_Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701,-0.032799999999999996,0.0199,-0.012800000000000006,0.0461,0.0058,-0.006500000000000006,0.04400000000000001,0.025499999999999967,-0.03219999999999998,0.060100000000000015,0.0504,0.04059999999999997
Change in Recovery_Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,68.75,0.0,0.0,12.5,0.0,0.0,0.0,-5.147099999999995,-26.797300000000007,-20.772999999999996,-1.449300000000001,-13.080100000000002,-7.945499999999999,-2.2447999999999997,-1.8996000000000013,-2.056399999999999,-2.7874000000000003,-0.7822,-0.2845,-0.5220000000000002,-0.20019999999999993,-0.2951999999999999,0.07489999999999997,-0.10719999999999996,0.04859999999999998,-0.24839999999999995,-0.20950000000000013,0.12750000000000006,-0.1975,0.128,-0.11419999999999997,0.1693,0.1419999999999999
Change in Activity_Rate,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.25,0.0,0.0,0.0,0.0,-68.75,0.0,0.0,-12.5,0.0,0.0,0.0,5.147099999999998,26.797300000000003,20.772999999999996,1.449300000000008,13.080099999999987,7.94550000000001,2.244799999999998,1.8995999999999924,2.0564000000000107,2.787399999999991,0.7822000000000031,0.2845000000000084,0.5219999999999914,0.030100000000004457,0.32800000000000296,-0.09480000000000643,0.12010000000000787,-0.09480000000000643,0.24259999999999593,0.21600000000000819,-0.17150000000000887,0.17210000000000036,-0.09590000000000032,0.054100000000005366,-0.21970000000000312,-0.18259999999999366
