,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21
Total Confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,13.0,15.0,32.0,45.0,84.0,120.0,165.0,222.0,259.0,400.0,500.0,673.0,1073.0,1695.0,2277.0,2277.0,5232.0,6391.0,7798.0,9942.0,11748.0,13910.0,17963.0,20410.0,25374.0
Total Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,10.0,17.0,28.0,35.0,54.0,55.0,133.0,195.0,289.0,342.0,533.0,623.0,830.0,1043.0,1375.0
Total Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,30.0,30.0,32.0,32.0,183.0,183.0,193.0,517.0,517.0,530.0,1028.0,1081.0,1107.0,1588.0,2125.0
Total Active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,13.0,30.0,43.0,82.0,118.0,162.0,218.0,254.0,393.0,460.0,626.0,1013.0,1628.0,2040.0,2039.0,4906.0,5679.0,6992.0,9070.0,10187.0,12206.0,16026.0,17779.0,21874.0
Change in Confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,17.0,13.0,39.0,36.0,45.0,57.0,37.0,141.0,100.0,173.0,400.0,622.0,582.0,0.0,2955.0,1159.0,1407.0,2144.0,1806.0,2162.0,4053.0,2447.0,4964.0
Change in Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,7.0,11.0,7.0,19.0,1.0,78.0,62.0,94.0,53.0,191.0,90.0,207.0,213.0,332.0
Change in Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,2.0,0.0,151.0,0.0,10.0,324.0,0.0,13.0,498.0,53.0,26.0,481.0,537.0
Change in Active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,17.0,13.0,39.0,36.0,44.0,56.0,36.0,139.0,67.0,166.0,387.0,615.0,412.0,-1.0,2867.0,773.0,1313.0,2078.0,1117.0,2019.0,3820.0,1753.0,4095.0
Total Mortality_Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6061,0.9009,1.1583,1.25,2.0,2.526,2.6095,2.0649,2.3715,2.4155,2.542,3.0512,3.7061,3.44,4.5369,4.4788,4.6206,5.1102,5.4189
Total Recovery_Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.3333,15.3846,13.3333,6.25,4.4444,2.381,1.6667,1.2121,0.9009,0.7722,0.5,6.0,4.4577,2.9823,1.8879,8.0369,8.0369,3.6888,8.0895,6.6299,5.3309,8.7504,7.7714,6.1627,7.7805,8.3747
Total Activity_Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.6667,84.6154,86.6667,93.75,95.5556,97.619,98.3333,98.1818,98.1982,98.0695,98.25,92.0,93.0163,94.4082,96.0472,89.5916,89.5477,93.7691,88.8593,89.664,91.2291,86.7126,87.7498,89.2167,87.1093,86.2064
Change in Mortality_Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6061,0.29480000000000006,0.2574000000000001,0.09169999999999989,0.75,0.5259999999999998,0.08350000000000035,-0.5446,0.3066,0.04400000000000004,0.1264999999999996,0.5092000000000003,0.6549,-0.2661000000000002,1.0969000000000002,-0.058100000000000485,0.14179999999999993,0.48960000000000026,0.3087
Change in Recovery_Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.66669999999999,-17.948700000000002,-2.0513000000000012,-7.0832999999999995,-1.8056,-2.0634,-0.7142999999999997,-0.4546000000000001,-0.3111999999999999,-0.12870000000000004,-0.2722,5.5,-1.5423,-1.4754,-1.0944,6.148999999999999,0.0,-4.348099999999999,4.400699999999999,-1.4595999999999991,-1.2990000000000004,3.419500000000001,-0.979000000000001,-1.6086999999999998,1.6178,0.5942000000000007
Change in Activity_Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.6667,17.948699999999988,2.051300000000012,7.083299999999994,1.8055999999999983,2.0634000000000015,0.7142999999999944,-0.15149999999999864,0.01640000000000441,-0.12869999999999493,0.180499999999995,-6.25,1.016300000000001,1.3918999999999926,1.63900000000001,-6.455600000000004,-0.04389999999999361,4.2213999999999885,-4.90979999999999,0.8046999999999969,1.565100000000001,-4.516500000000008,1.0371999999999986,1.4669000000000096,-2.1073999999999984,-0.9029000000000025
