,Total Confirmed,Total Deaths,Total Recovered,Total Active,Change in Confirmed,Change in Deaths,Change in Recovered,Change in Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,2,0,0,2,2,0,0,2,0.0,0.0,100.0,0.0,0.0,100.0
2020-01-25,3,0,0,3,1,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-26,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-27,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-28,4,0,0,4,1,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-29,5,0,0,5,1,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-30,5,0,0,5,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-31,5,0,0,5,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-01,6,0,0,6,1,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,6,0,0,6,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,6,0,0,6,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,6,0,0,6,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,6,0,0,6,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,6,0,0,6,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,6,0,0,6,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-08,11,0,0,11,5,0,0,5,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-09,11,0,0,11,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-10,11,0,0,11,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-11,11,0,0,11,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-12,11,0,2,9,0,0,2,-2,0.0,18.1818,81.8182,0.0,18.1818,-18.181799999999996
2020-02-13,11,0,2,9,0,0,0,0,0.0,18.1818,81.8182,0.0,0.0,0.0
2020-02-14,11,0,2,9,0,0,0,0,0.0,18.1818,81.8182,0.0,0.0,0.0
2020-02-15,12,1,4,7,1,1,2,-2,8.3333,33.3333,58.3333,8.3333,15.151500000000002,-23.484900000000003
2020-02-16,12,1,4,7,0,0,0,0,8.3333,33.3333,58.3333,0.0,0.0,0.0
2020-02-17,12,1,4,7,0,0,0,0,8.3333,33.3333,58.3333,0.0,0.0,0.0
2020-02-18,12,1,4,7,0,0,0,0,8.3333,33.3333,58.3333,0.0,0.0,0.0
2020-02-19,12,1,4,7,0,0,0,0,8.3333,33.3333,58.3333,0.0,0.0,0.0
2020-02-20,12,1,4,7,0,0,0,0,8.3333,33.3333,58.3333,0.0,0.0,0.0
2020-02-21,12,1,4,7,0,0,0,0,8.3333,33.3333,58.3333,0.0,0.0,0.0
2020-02-22,12,1,4,7,0,0,0,0,8.3333,33.3333,58.3333,0.0,0.0,0.0
