,Total Confirmed,Total Deaths,Total Recovered,Total Active,Change in Confirmed,Change in Deaths,Change in Recovered,Change in Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,2,0,0,2,2,0,0,2,0.0,0.0,100.0,0.0,0.0,100.0
2020-02-01,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,3,0,0,3,1,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-08,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-09,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-10,8,0,0,8,5,0,0,5,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-11,8,0,0,8,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-12,9,0,1,8,1,0,1,0,0.0,11.1111,88.8889,0.0,11.1111,-11.111099999999993
2020-02-13,9,0,1,8,0,0,0,0,0.0,11.1111,88.8889,0.0,0.0,0.0
2020-02-14,9,0,1,8,0,0,0,0,0.0,11.1111,88.8889,0.0,0.0,0.0
2020-02-15,9,0,1,8,0,0,0,0,0.0,11.1111,88.8889,0.0,0.0,0.0
2020-02-16,9,0,8,1,0,0,7,-7,0.0,88.8889,11.1111,0.0,77.77780000000001,-77.77780000000001
2020-02-17,9,0,8,1,0,0,0,0,0.0,88.8889,11.1111,0.0,0.0,0.0
2020-02-18,9,0,8,1,0,0,0,0,0.0,88.8889,11.1111,0.0,0.0,0.0
2020-02-19,9,0,8,1,0,0,0,0,0.0,88.8889,11.1111,0.0,0.0,0.0
2020-02-20,9,0,8,1,0,0,0,0,0.0,88.8889,11.1111,0.0,0.0,0.0
2020-02-21,9,0,8,1,0,0,0,0,0.0,88.8889,11.1111,0.0,0.0,0.0
2020-02-22,9,0,8,1,0,0,0,0,0.0,88.8889,11.1111,0.0,0.0,0.0
