,Total Confirmed,Total Deaths,Total Recovered,Total Active,Change in Confirmed,Change in Deaths,Change in Recovered,Change in Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,2,0,0,2,2,0,0,2,0.0,0.0,100.0,0.0,0.0,100.0
2020-02-01,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,3,0,0,3,1,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-08,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-09,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-10,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-11,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-12,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-13,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-14,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-15,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-16,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-17,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-18,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-19,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-20,3,0,0,3,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-21,20,1,0,19,17,1,0,16,5.0,0.0,95.0,5.0,0.0,-5.0
2020-02-22,62,2,1,59,42,1,1,40,3.2258,1.6129,95.1613,-1.7742,1.6129,0.1612999999999971
