,Total Confirmed,Total Deaths,Total Recovered,Total Active,Change in Confirmed,Change in Deaths,Change in Recovered,Change in Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-23,1,0,0,1,-1,0,0,-1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-24,2,0,0,2,1,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-25,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-26,4,0,1,3,2,0,1,1,0.0,25.0,75.0,0.0,25.0,-25.0
2020-01-27,4,0,1,3,0,0,0,0,0.0,25.0,75.0,0.0,0.0,0.0
2020-01-28,7,0,1,6,3,0,0,3,0.0,14.2857,85.7143,0.0,-10.7143,10.714299999999994
2020-01-29,7,0,1,6,0,0,0,0,0.0,14.2857,85.7143,0.0,0.0,0.0
2020-01-30,11,0,1,10,4,0,0,4,0.0,9.0909,90.9091,0.0,-5.194800000000001,5.194800000000001
2020-01-31,15,0,1,14,4,0,0,4,0.0,6.6667,93.3333,0.0,-2.4242,2.424199999999999
2020-02-01,20,0,1,19,5,0,0,5,0.0,5.0,95.0,0.0,-1.6666999999999996,1.6667000000000058
2020-02-02,20,0,1,19,0,0,0,0,0.0,5.0,95.0,0.0,0.0,0.0
2020-02-03,20,0,1,19,0,0,0,0,0.0,5.0,95.0,0.0,0.0,0.0
2020-02-04,22,0,1,21,2,0,0,2,0.0,4.5455,95.4545,0.0,-0.45450000000000035,0.4544999999999959
2020-02-05,22,0,1,21,0,0,0,0,0.0,4.5455,95.4545,0.0,0.0,0.0
2020-02-06,45,0,1,44,23,0,0,23,0.0,2.2222,97.7778,0.0,-2.3232999999999997,2.3233000000000033
2020-02-07,25,0,1,24,-20,0,0,-20,0.0,4.0,96.0,0.0,1.7778,-1.7777999999999992
2020-02-08,25,0,1,24,0,0,0,0,0.0,4.0,96.0,0.0,0.0,0.0
2020-02-09,26,0,1,25,1,0,0,1,0.0,3.8462,96.1538,0.0,-0.15379999999999994,0.15380000000000393
2020-02-10,26,0,4,22,0,0,3,-3,0.0,15.3846,84.6154,0.0,11.538400000000001,-11.53840000000001
2020-02-11,26,0,9,17,0,0,5,-5,0.0,34.6154,65.3846,0.0,19.230800000000002,-19.230799999999988
2020-02-12,28,0,9,19,2,0,0,2,0.0,32.1429,67.8571,0.0,-2.4725000000000037,2.4724999999999966
2020-02-13,28,1,9,18,0,1,0,-1,3.5714,32.1429,64.2857,3.5714,0.0,-3.571399999999997
2020-02-14,29,1,9,19,1,0,0,1,3.4483,31.0345,65.5172,-0.12309999999999999,-1.108399999999996,1.231499999999997
2020-02-15,43,1,12,30,14,0,3,11,2.3256,27.907,69.7674,-1.1227,-3.1275000000000013,4.250199999999992
2020-02-16,59,1,12,46,16,0,0,16,1.6949,20.339,77.9661,-0.6307,-7.568000000000001,8.198700000000002
2020-02-17,66,1,12,53,7,0,0,7,1.5152,18.1818,80.303,-0.17969999999999997,-2.1571999999999996,2.3369
2020-02-18,74,1,13,60,8,0,1,7,1.3514,17.5676,81.0811,-0.16380000000000017,-0.6142000000000003,0.7781000000000091
2020-02-19,84,1,18,65,10,0,5,5,1.1905,21.4286,77.381,-0.16090000000000004,3.8610000000000007,-3.700100000000006
2020-02-20,94,1,18,75,10,0,0,10,1.0638,19.1489,79.7872,-0.1266999999999998,-2.2796999999999983,2.4061999999999983
2020-02-21,105,1,22,82,11,0,4,7,0.9524,20.9524,78.0952,-0.11140000000000005,1.8034999999999997,-1.691999999999993
2020-02-22,122,1,22,99,17,0,0,17,0.8197,18.0328,81.1475,-0.13270000000000004,-2.919599999999999,3.0522999999999882
2020-02-23,147,1,22,124,25,0,0,25,0.6803,14.966,84.3537,-0.13939999999999997,-3.0668000000000024,3.2062000000000097
2020-02-24,159,1,22,136,12,0,0,12,0.6289,13.8365,85.5346,-0.0514,-1.1295000000000002,1.180899999999994
2020-02-25,170,1,22,147,11,0,0,11,0.5882,12.9412,86.4706,-0.04070000000000007,-0.8952999999999989,0.936000000000007
2020-02-26,189,2,22,165,19,1,0,18,1.0582,11.6402,87.3016,0.4700000000000001,-1.3010000000000002,0.8309999999999889
2020-02-27,214,4,22,188,25,2,0,23,1.8692,10.2804,87.8505,0.8109999999999999,-1.3598,0.5489000000000033
2020-02-28,228,4,22,202,14,0,0,14,1.7544,9.6491,88.5965,-0.11480000000000001,-0.6312999999999995,0.7460000000000093
2020-02-29,241,5,32,204,13,1,10,2,2.0747,13.278,84.6473,0.32030000000000003,3.6289,-3.9492000000000047
2020-03-01,256,6,32,218,15,1,0,14,2.3438,12.5,85.1562,0.2690999999999999,-0.7780000000000005,0.508899999999997
2020-03-02,274,6,32,236,18,0,0,18,2.1898,11.6788,86.1314,-0.15399999999999991,-0.8211999999999993,0.975200000000001
2020-03-03,293,6,43,244,19,0,11,8,2.0478,14.6758,83.2765,-0.1419999999999999,2.997,-2.8549000000000007
2020-03-04,331,6,43,282,38,0,0,38,1.8127,12.9909,85.1964,-0.2351000000000001,-1.6849000000000007,1.9198999999999984
2020-03-05,360,6,43,311,29,0,0,29,1.6667,11.9444,86.3889,-0.1459999999999999,-1.0465,1.1925000000000097
2020-03-06,420,6,46,368,60,0,3,57,1.4286,10.9524,87.619,-0.23809999999999998,-0.9919999999999991,1.230099999999993
2020-03-07,461,6,76,379,41,0,30,11,1.3015,16.4859,82.2126,-0.1271,5.5335,-5.406400000000005
