,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21
Total Confirmed,2.0,1.0,2.0,2.0,4.0,4.0,7.0,7.0,11.0,15.0,20.0,20.0,20.0,22.0,22.0,45.0,25.0,25.0,26.0,26.0,26.0,28.0,28.0,29.0,43.0,59.0,66.0,74.0,84.0,94.0,105.0,122.0,147.0,159.0,170.0,189.0,214.0,228.0,241.0,256.0,274.0,293.0,331.0,360.0,420.0,461.0,502.0,511.0,581.0,639.0,639.0,701.0,773.0,839.0,825.0,878.0,889.0,924.0,963.0,1007.0
Total Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0,10.0,15.0,16.0,19.0,22.0,22.0,27.0,29.0,29.0,29.0,33.0,35.0
Total Recovered,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,9.0,9.0,9.0,12.0,12.0,12.0,13.0,18.0,18.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,32.0,32.0,32.0,43.0,43.0,43.0,46.0,76.0,76.0,76.0,101.0,118.0,118.0,118.0,118.0,118.0,144.0,144.0,144.0,150.0,191.0,232.0
Total Active,2.0,1.0,2.0,2.0,3.0,3.0,6.0,6.0,10.0,14.0,19.0,19.0,19.0,21.0,21.0,44.0,24.0,24.0,25.0,22.0,17.0,19.0,18.0,19.0,30.0,46.0,53.0,60.0,65.0,75.0,82.0,99.0,124.0,136.0,147.0,165.0,188.0,202.0,204.0,218.0,236.0,244.0,282.0,311.0,368.0,379.0,420.0,425.0,470.0,506.0,505.0,564.0,633.0,699.0,654.0,705.0,716.0,745.0,739.0,740.0
Change in Confirmed,0.0,-1.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,4.0,5.0,0.0,0.0,2.0,0.0,23.0,-20.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,14.0,16.0,7.0,8.0,10.0,10.0,11.0,17.0,25.0,12.0,11.0,19.0,25.0,14.0,13.0,15.0,18.0,19.0,38.0,29.0,60.0,41.0,41.0,9.0,70.0,58.0,0.0,62.0,72.0,66.0,-14.0,53.0,11.0,35.0,39.0,44.0
Change in Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,3.0,3.0,0.0,5.0,2.0,0.0,0.0,4.0,2.0
Change in Recovered,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,11.0,0.0,0.0,3.0,30.0,0.0,0.0,25.0,17.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,6.0,41.0,41.0
Change in Active,0.0,-1.0,1.0,0.0,1.0,0.0,3.0,0.0,4.0,4.0,5.0,0.0,0.0,2.0,0.0,23.0,-20.0,0.0,1.0,-3.0,-5.0,2.0,-1.0,1.0,11.0,16.0,7.0,7.0,5.0,10.0,7.0,17.0,25.0,12.0,11.0,18.0,23.0,14.0,2.0,14.0,18.0,8.0,38.0,29.0,57.0,11.0,41.0,5.0,45.0,36.0,-1.0,59.0,69.0,66.0,-45.0,51.0,11.0,29.0,-6.0,1.0
Total Mortality_Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5714,3.4483,2.3256,1.6949,1.5152,1.3514,1.1905,1.0638,0.9524,0.8197,0.6803,0.6289,0.5882,1.0582,1.8692,1.7544,2.0747,2.3438,2.1898,2.0478,1.8127,1.6667,1.4286,1.3015,1.1952,1.9569,1.7212,2.3474,2.5039,2.7104,2.8461,2.6222,3.2727,3.303,3.2621,3.1385,3.4268,3.4757
Total Recovery_Rate,0.0,0.0,0.0,0.0,25.0,25.0,14.2857,14.2857,9.0909,6.6667,5.0,5.0,5.0,4.5455,4.5455,2.2222,4.0,4.0,3.8462,15.3846,34.6154,32.1429,32.1429,31.0345,27.907,20.339,18.1818,17.5676,21.4286,19.1489,20.9524,18.0328,14.966,13.8365,12.9412,11.6402,10.2804,9.6491,13.278,12.5,11.6788,14.6758,12.9909,11.9444,10.9524,16.4859,15.1394,14.8728,17.3838,18.4664,18.4664,16.8331,15.2652,14.0644,17.4545,16.4009,16.198,16.2338,19.8339,23.0387
