,Total Confirmed,Total Deaths,Total Recovered,Total Active,Change in Confirmed,Change in Deaths,Change in Recovered,Change in Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,1,0,0,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-23,1,0,0,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-24,2,0,0,2,1,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-25,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-26,3,0,0,3,1,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-27,4,0,0,4,1,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-28,4,0,0,4,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-29,4,0,0,4,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-30,4,0,0,4,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-01-31,11,0,0,11,7,0,0,7,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-01,12,0,0,12,1,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,15,0,0,15,3,0,0,3,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,15,0,0,15,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,16,0,0,16,1,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,19,0,0,19,3,0,0,3,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,23,0,0,23,4,0,0,4,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,24,0,1,23,1,0,1,0,0.0,4.1667,95.8333,0.0,4.1667,-4.166700000000006
2020-02-08,24,0,1,23,0,0,0,0,0.0,4.1667,95.8333,0.0,0.0,0.0
2020-02-09,25,0,3,22,1,0,2,-1,0.0,12.0,88.0,0.0,7.8333,-7.833299999999994
2020-02-10,27,0,3,24,2,0,0,2,0.0,11.1111,88.8889,0.0,-0.8888999999999996,0.8889000000000067
2020-02-11,28,0,3,25,1,0,0,1,0.0,10.7143,89.2857,0.0,-0.3968000000000007,0.39679999999999893
2020-02-12,28,0,7,21,0,0,4,-4,0.0,25.0,75.0,0.0,14.2857,-14.285700000000006
2020-02-13,28,0,7,21,0,0,0,0,0.0,25.0,75.0,0.0,0.0,0.0
2020-02-14,28,0,7,21,0,0,0,0,0.0,25.0,75.0,0.0,0.0,0.0
2020-02-15,28,0,9,19,0,0,2,-2,0.0,32.1429,67.8571,0.0,7.142899999999997,-7.142899999999997
2020-02-16,29,0,9,20,1,0,0,1,0.0,31.0345,68.9655,0.0,-1.108399999999996,1.1084000000000032
2020-02-17,30,0,10,20,1,0,1,0,0.0,33.3333,66.6667,0.0,2.2988,-2.2988
2020-02-18,31,0,12,19,1,0,2,-1,0.0,38.7097,61.2903,0.0,5.376399999999997,-5.376400000000004
2020-02-19,31,0,12,19,0,0,0,0,0.0,38.7097,61.2903,0.0,0.0,0.0
2020-02-20,104,1,16,87,73,1,4,68,0.9615,15.3846,83.6538,0.9615,-23.3251,22.363500000000002
2020-02-21,204,2,16,186,100,1,0,99,0.9804,7.8431,91.1765,0.018900000000000028,-7.541500000000001,7.5227
2020-02-22,433,2,16,415,229,0,0,229,0.4619,3.6952,95.843,-0.5185000000000001,-4.1479,4.666499999999999
2020-02-23,602,6,18,578,169,4,2,163,0.9967,2.99,96.0133,0.5348,-0.7051999999999996,0.17029999999999745
2020-02-24,833,8,18,807,231,2,0,229,0.9604,2.1609,96.8788,-0.0363,-0.8291000000000004,0.8654999999999973
2020-02-25,977,10,22,945,144,2,4,138,1.0235,2.2518,96.7247,0.06310000000000004,0.09089999999999998,-0.15409999999999968
2020-02-26,1261,12,22,1227,284,2,0,282,0.9516,1.7446,97.3037,-0.07190000000000007,-0.5071999999999999,0.5790000000000077
