,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21
Total Confirmed,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,11.0,12.0,15.0,15.0,16.0,19.0,23.0,24.0,24.0,25.0,27.0,28.0,28.0,28.0,28.0,28.0,29.0,30.0,31.0,31.0,104.0,204.0,433.0,602.0,833.0,977.0,1261.0,1766.0,2337.0,3150.0,3736.0,4335.0,5186.0,5621.0,6088.0,6593.0,7041.0,7314.0,7478.0,7513.0,7755.0,7869.0,7979.0,8086.0,8162.0,8236.0,8320.0,8413.0,8565.0,8652.0,8799.0
Total Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,8.0,10.0,12.0,13.0,13.0,16.0,17.0,28.0,28.0,35.0,35.0,42.0,44.0,50.0,53.0,54.0,60.0,66.0,66.0,72.0,75.0,75.0,81.0,84.0,91.0,94.0,102.0
Total Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,7.0,7.0,7.0,9.0,9.0,10.0,12.0,12.0,16.0,16.0,16.0,18.0,18.0,22.0,22.0,22.0,22.0,27.0,30.0,30.0,30.0,41.0,41.0,135.0,135.0,118.0,118.0,247.0,288.0,333.0,510.0,510.0,510.0,1137.0,1407.0,1540.0,1540.0,1540.0,1540.0
Total Active,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,11.0,12.0,15.0,15.0,16.0,19.0,23.0,23.0,23.0,22.0,24.0,25.0,21.0,21.0,21.0,19.0,20.0,20.0,19.0,19.0,87.0,186.0,415.0,578.0,807.0,945.0,1227.0,1731.0,2302.0,3107.0,3689.0,4277.0,5128.0,5545.0,6012.0,6416.0,6862.0,7146.0,7307.0,7212.0,7407.0,7470.0,7403.0,7504.0,7577.0,7024.0,6832.0,6789.0,6934.0,7018.0,7157.0
Change in Confirmed,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,73.0,100.0,229.0,169.0,231.0,144.0,284.0,505.0,571.0,813.0,586.0,599.0,851.0,435.0,467.0,505.0,448.0,273.0,164.0,35.0,242.0,114.0,110.0,107.0,76.0,74.0,84.0,93.0,152.0,87.0,147.0
Change in Deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,0.0,3.0,1.0,11.0,0.0,7.0,0.0,7.0,2.0,6.0,3.0,1.0,6.0,6.0,0.0,6.0,3.0,0.0,6.0,3.0,7.0,3.0,8.0
Change in Recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,11.0,0.0,94.0,0.0,-17.0,0.0,129.0,41.0,45.0,177.0,0.0,0.0,627.0,270.0,133.0,0.0,0.0,0.0
Change in Active,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,1.0,3.0,4.0,0.0,0.0,-1.0,2.0,1.0,-4.0,0.0,0.0,-2.0,1.0,0.0,-1.0,0.0,68.0,99.0,229.0,163.0,229.0,138.0,282.0,504.0,571.0,805.0,582.0,588.0,851.0,417.0,467.0,404.0,446.0,284.0,161.0,-95.0,195.0,63.0,-67.0,101.0,73.0,-553.0,-192.0,-43.0,145.0,84.0,139.0
Total Mortality_Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615,0.9804,0.4619,0.9967,0.9604,1.0235,0.9516,0.7361,0.5563,0.5079,0.455,0.6459,0.5399,0.6227,0.5749,0.637,0.6249,0.6836,0.7087,0.7188,0.7737,0.8387,0.8272,0.8904,0.9189,0.9106,0.9736,0.9985,1.0625,1.0865,1.1592
Total Recovery_Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1667,4.1667,12.0,11.1111,10.7143,25.0,25.0,25.0,32.1429,31.0345,33.3333,38.7097,38.7097,15.3846,7.8431,3.6952,2.99,2.1609,2.2518,1.7446,1.2458,0.9414,0.8571,0.803,0.692,0.5785,0.7294,0.6735,2.0476,1.9173,1.6133,1.578,3.2876,3.7137,4.2318,6.3918,6.3072,6.2485,13.8052,16.9111,18.305,17.9802,17.7994,17.502
