,Total Confirmed,Total Deaths,Total Recovered,Total Active,Change in Confirmed,Change in Deaths,Change in Recovered,Change in Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,1,0,0,1,1,0,0,1,0.0,0.0,100.0,0.0,0.0,100.0
2020-01-31,1,0,0,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-01,1,0,0,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-02,2,1,0,1,1,1,0,0,50.0,0.0,50.0,50.0,0.0,-50.0
2020-02-03,2,1,0,1,0,0,0,0,50.0,0.0,50.0,0.0,0.0,0.0
2020-02-04,2,1,0,1,0,0,0,0,50.0,0.0,50.0,0.0,0.0,0.0
2020-02-05,2,1,0,1,0,0,0,0,50.0,0.0,50.0,0.0,0.0,0.0
2020-02-06,2,1,0,1,0,0,0,0,50.0,0.0,50.0,0.0,0.0,0.0
2020-02-07,3,1,0,2,1,0,0,1,33.3333,0.0,66.6667,-16.6667,0.0,16.666700000000006
2020-02-08,3,1,0,2,0,0,0,0,33.3333,0.0,66.6667,0.0,0.0,0.0
2020-02-09,3,1,0,2,0,0,0,0,33.3333,0.0,66.6667,0.0,0.0,0.0
2020-02-10,3,1,0,2,0,0,0,0,33.3333,0.0,66.6667,0.0,0.0,0.0
2020-02-11,3,1,0,2,0,0,0,0,33.3333,0.0,66.6667,0.0,0.0,0.0
2020-02-12,3,1,1,1,0,0,1,-1,33.3333,33.3333,33.3333,0.0,33.3333,-33.333400000000005
2020-02-13,3,1,1,1,0,0,0,0,33.3333,33.3333,33.3333,0.0,0.0,0.0
2020-02-14,3,1,1,1,0,0,0,0,33.3333,33.3333,33.3333,0.0,0.0,0.0
2020-02-15,3,1,1,1,0,0,0,0,33.3333,33.3333,33.3333,0.0,0.0,0.0
2020-02-16,3,1,1,1,0,0,0,0,33.3333,33.3333,33.3333,0.0,0.0,0.0
2020-02-17,3,1,1,1,0,0,0,0,33.3333,33.3333,33.3333,0.0,0.0,0.0
2020-02-18,3,1,1,1,0,0,0,0,33.3333,33.3333,33.3333,0.0,0.0,0.0
2020-02-19,3,1,1,1,0,0,0,0,33.3333,33.3333,33.3333,0.0,0.0,0.0
2020-02-20,3,1,1,1,0,0,0,0,33.3333,33.3333,33.3333,0.0,0.0,0.0
2020-02-21,3,1,1,1,0,0,0,0,33.3333,33.3333,33.3333,0.0,0.0,0.0
